<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZA;10;231101;100000;995.0000000;995.0000000;995.0000000;995.0000000;10
GAZA;10;231101;101000;1000.0000000;1002.5000000;995.0000000;1002.5000000;70
GAZA;10;231101;103000;1002.5000000;1008.5000000;1002.5000000;1008.5000000;100
GAZA;10;231101;104000;1002.0000000;1007.5000000;1002.0000000;1007.5000000;20
GAZA;10;231101;105000;1007.5000000;1007.5000000;1007.5000000;1007.5000000;10
GAZA;10;231101;110000;1007.5000000;1007.5000000;1007.5000000;1007.5000000;10
GAZA;10;231101;111000;1001.0000000;1007.5000000;1001.0000000;1007.5000000;20
GAZA;10;231101;114000;1001.5000000;1001.5000000;1000.5000000;1000.5000000;60
GAZA;10;231101;115000;1006.5000000;1006.5000000;1006.5000000;1006.5000000;10
GAZA;10;231101;121000;1007.0000000;1007.0000000;1007.0000000;1007.0000000;10
GAZA;10;231101;124000;1002.5000000;1006.0000000;1002.5000000;1006.0000000;20
GAZA;10;231101;130000;1002.0000000;1002.0000000;1001.5000000;1001.5000000;30
GAZA;10;231101;134000;1001.5000000;1001.5000000;1001.5000000;1001.5000000;20
GAZA;10;231101;141000;1001.5000000;1001.5000000;1000.0000000;1000.5000000;80
GAZA;10;231101;144000;1005.0000000;1005.0000000;997.0000000;997.5000000;140
GAZA;10;231101;145000;997.0000000;997.0000000;997.0000000;997.0000000;20
GAZA;10;231101;153000;1003.0000000;1007.0000000;1003.0000000;1007.0000000;150
GAZA;10;231101;163000;1004.5000000;1004.5000000;1004.5000000;1004.5000000;10
GAZA;10;231101;171000;1004.0000000;1004.0000000;1004.0000000;1004.0000000;10
GAZA;10;231101;173000;1006.5000000;1007.0000000;1006.5000000;1007.0000000;100
GAZA;10;231101;175000;1007.0000000;1035.0000000;1007.0000000;1035.0000000;780
GAZA;10;231101;180000;1034.5000000;1034.5000000;1034.5000000;1034.5000000;20
GAZA;10;231101;182000;1019.5000000;1019.5000000;1019.5000000;1019.5000000;10
GAZA;10;231101;183000;1020.0000000;1020.0000000;1020.0000000;1020.0000000;10
GAZA;10;231101;184000;1020.5000000;1020.5000000;1020.5000000;1020.5000000;10
GAZA;10;231102;100000;1035.0000000;1045.0000000;1020.5000000;1035.0000000;400
GAZA;10;231102;101000;1029.5000000;1029.5000000;1029.5000000;1029.5000000;10
GAZA;10;231102;103000;1039.0000000;1060.0000000;1032.0000000;1035.0000000;890
GAZA;10;231102;104000;1037.5000000;1037.5000000;1037.5000000;1037.5000000;10
GAZA;10;231102;105000;1035.5000000;1035.5000000;1035.5000000;1035.5000000;10
GAZA;10;231102;110000;1035.5000000;1035.5000000;1035.5000000;1035.5000000;60
GAZA;10;231102;111000;1039.5000000;1095.5000000;1039.5000000;1076.0000000;1970
GAZA;10;231102;112000;1077.0000000;1077.0000000;1065.5000000;1066.0000000;160
GAZA;10;231102;113000;1065.0000000;1082.5000000;1050.0000000;1059.5000000;320
GAZA;10;231102;114000;1064.0000000;1087.0000000;1064.0000000;1087.0000000;340
GAZA;10;231102;115000;1074.0000000;1088.0000000;1073.0000000;1084.5000000;620
GAZA;10;231102;120000;1074.0000000;1084.0000000;1062.0000000;1080.5000000;410
GAZA;10;231102;121000;1069.5000000;1069.5000000;1050.0000000;1055.5000000;860
GAZA;10;231102;122000;1055.0000000;1055.0000000;1052.5000000;1052.5000000;80
GAZA;10;231102;123000;1051.0000000;1051.0000000;1040.5000000;1049.5000000;160
GAZA;10;231102;124000;1042.5000000;1042.5000000;1040.5000000;1040.5000000;20
GAZA;10;231102;131000;1040.5000000;1040.5000000;1038.0000000;1038.0000000;80
GAZA;10;231102;132000;1038.0000000;1038.0000000;1036.5000000;1036.5000000;70
GAZA;10;231102;133000;1036.0000000;1039.5000000;1036.0000000;1039.5000000;40
GAZA;10;231102;134000;1042.5000000;1049.0000000;1042.5000000;1047.5000000;140
GAZA;10;231102;135000;1045.0000000;1045.5000000;1045.0000000;1045.5000000;20
GAZA;10;231102;140000;1038.5000000;1038.5000000;1033.5000000;1033.5000000;130
GAZA;10;231102;141000;1041.5000000;1041.5000000;1041.5000000;1041.5000000;10
GAZA;10;231102;143000;1041.0000000;1041.0000000;1041.0000000;1041.0000000;10
GAZA;10;231102;144000;1038.0000000;1038.0000000;1038.0000000;1038.0000000;10
GAZA;10;231102;150000;1038.5000000;1038.5000000;1038.0000000;1038.0000000;30
GAZA;10;231102;151000;1038.0000000;1038.0000000;1038.0000000;1038.0000000;20
GAZA;10;231102;155000;1042.0000000;1044.5000000;1042.0000000;1044.5000000;230
GAZA;10;231102;160000;1044.5000000;1044.5000000;1044.5000000;1044.5000000;60
GAZA;10;231102;162000;1044.5000000;1044.5000000;1044.5000000;1044.5000000;20
GAZA;10;231102;164000;1039.0000000;1039.0000000;1039.0000000;1039.0000000;20
GAZA;10;231102;174000;1039.0000000;1039.0000000;1032.0000000;1032.0000000;310
GAZA;10;231102;175000;1032.0000000;1032.0000000;1030.0000000;1030.0000000;90
GAZA;10;231102;180000;1033.5000000;1033.5000000;1025.5000000;1025.5000000;110
GAZA;10;231102;181000;1025.0000000;1025.5000000;1021.5000000;1025.5000000;260
GAZA;10;231102;182000;1025.5000000;1025.5000000;1025.5000000;1025.5000000;30
GAZA;10;231102;184000;1025.0000000;1025.0000000;1025.0000000;1025.0000000;100
GAZA;10;231103;101000;1034.0000000;1043.5000000;1034.0000000;1043.5000000;190
GAZA;10;231103;102000;1041.5000000;1041.5000000;1041.5000000;1041.5000000;10
GAZA;10;231103;103000;1031.5000000;1031.5000000;1031.0000000;1031.0000000;70
GAZA;10;231103;104000;1030.0000000;1030.0000000;1030.0000000;1030.0000000;20
GAZA;10;231103;110000;1029.0000000;1029.0000000;1021.0000000;1021.0000000;220
GAZA;10;231103;111000;1026.5000000;1032.5000000;1026.5000000;1032.5000000;40
GAZA;10;231103;113000;1030.0000000;1030.0000000;1030.0000000;1030.0000000;10
GAZA;10;231103;120000;1034.5000000;1034.5000000;1034.5000000;1034.5000000;10
GAZA;10;231103;121000;1034.5000000;1034.5000000;1034.5000000;1034.5000000;50
GAZA;10;231103;123000;1030.0000000;1030.0000000;1030.0000000;1030.0000000;90
GAZA;10;231103;124000;1028.0000000;1029.0000000;1028.0000000;1028.0000000;80
GAZA;10;231103;132000;1028.5000000;1028.5000000;1028.0000000;1028.0000000;60
GAZA;10;231103;135000;1033.5000000;1033.5000000;1033.5000000;1033.5000000;20
GAZA;10;231103;143000;1028.5000000;1028.5000000;1015.0000000;1015.0000000;240
GAZA;10;231103;144000;1013.0000000;1013.0000000;1013.0000000;1013.0000000;20
GAZA;10;231103;145000;1019.5000000;1019.5000000;1019.5000000;1019.5000000;20
GAZA;10;231103;150000;1024.0000000;1024.0000000;1024.0000000;1024.0000000;10
GAZA;10;231103;151000;1024.0000000;1024.0000000;1024.0000000;1024.0000000;10
