,code,year,hdi,country,epi,population,gdp_per_capita,co2_emission_per_capita,forest_area,ghg_emission
157,BDI,1955,0.07,,,,,,,
158,KHM,1955,0.12,,,,,,,
159,CMR,1955,0.08,,,,,,,
160,CAN,1955,0.5,,,,,,,
161,CPV,1955,0.12,,,,,,,
162,CAF,1955,0.07,,,,,,,
163,TCD,1955,0.05,,,,,,,
164,CHL,1955,0.3,,,,,,,
165,CHN,1955,0.16,,,,,,,
166,COL,1955,0.23,,,,,,,
167,COG,1955,0.11,,,,,,,
168,CRI,1955,0.29,,,,,,,
169,CIV,1955,0.07,,,,,,,
170,CUB,1955,0.29,,,,,,,
171,CYP,1955,0.33,,,,,,,
172,CZE,1955,0.43,,,,,,,
173,COD,1955,0.1,,,,,,,
174,DNK,1955,0.47,,,,,,,
175,DJI,1955,0.09,,,,,,,
176,DOM,1955,0.2,,,,,,,
177,ECU,1955,0.22,,,,,,,
178,EGY,1955,0.14,,,,,,,
179,SLV,1955,0.18,,,,,,,
180,GNQ,1955,0.12,,,,,,,
181,ERI,1955,0.05,,,,,,,
182,SWZ,1955,0.12,,,,,,,
183,ETH,1955,0.04,,,,,,,
184,FIN,1955,0.45,,,,,,,
185,FRA,1955,0.45,,,,,,,
186,GAB,1955,0.12,,,,,,,
187,GMB,1955,0.06,,,,,,,
188,DEU,1955,0.44,,,,,,,
189,GHA,1955,0.14,,,,,,,
190,GRC,1955,0.33,,,,,,,
191,GTM,1955,0.15,,,,,,,
192,GIN,1955,0.05,,,,,,,
193,GNB,1955,0.06,,,,,,,
194,GUY,1955,0.27,,,,,,,
195,HTI,1955,0.11,,,,,,,
196,HND,1955,0.16,,,,,,,
197,HKG,1955,0.27,,,,,,,
198,HUN,1955,0.39,,,,,,,
199,IND,1955,0.12,,,,,,,
200,IDN,1955,0.13,,,,,,,
201,IRN,1955,0.12,,,,,,,
202,IRQ,1955,0.14,,,,,,,
203,IRL,1955,0.43,,,,,,,
204,ISR,1955,0.37,,,,,,,
205,ITA,1955,0.36,,,,,,,
