date,gz_spread,ebp,est_prob
1973-01-01,1.1018267879026922,0.01207823834612131,0.2288595808163296
1973-02-01,1.0454231431408945,-0.00494147542785827,0.2228455415296949
1973-03-01,0.9956893667936306,-0.09675708098240944,0.1919950396303938
1973-04-01,0.955332719808464,-0.15452894465906797,0.17399588991576445
1973-05-01,1.007392811089747,-0.0551257829302294,0.20564628312918432
1973-06-01,1.1422628080798305,0.05239092427509018,0.2434614604698904
1973-07-01,0.9332407654266386,-0.3141810359656494,0.130040788894967
1973-08-01,0.9432599258337327,-0.19063978680068328,0.16330918065100972
1973-09-01,0.770816861878995,-0.342240264090375,0.1231897369671776
1973-10-01,1.2266048014370987,0.13579072978652795,0.2752015547014357
1973-11-01,1.3092866490080168,0.08516286883211022,0.2556931797798286
1973-12-01,1.237356098871855,0.01771635123216342,0.23087175531124748
1974-01-01,1.1116754127027626,-0.03298541098811047,0.2131351398596585
1974-02-01,1.2493236783221082,0.17423391784673292,0.2904886864277249
1974-03-01,1.16420549138832,-0.07441533038338277,0.19925081407714867
1974-04-01,1.1758896088595745,0.07612671490977463,0.2522888139567325
1974-05-01,1.2171906475174696,0.08437864857152721,0.2553967776308026
1974-06-01,1.751911997703672,0.6728528133310192,0.5136730857417264
1974-07-01,2.439163257937959,1.2217486646003886,0.7516304663770222
1974-08-01,1.9232674011540911,0.8059884854470911,0.5756630578979356
1974-09-01,2.194856235330312,0.9052116370718052,0.6207570464214766
1974-10-01,2.3949455635439416,1.0527930082391543,0.684736235140891
1974-11-01,2.2072418424169995,1.00946663688814,0.6664184256963965
1974-12-01,2.5232673424169114,1.1651179024031335,0.7300775139538065
1975-01-01,1.6641929937454714,0.3975957343644856,0.38615829907773536
1975-02-01,1.5799738986631373,0.4091503551008697,0.3913658248448893
1975-03-01,1.8314215202624853,0.5939155760239383,0.4766639228719858
1975-04-01,1.4900720316844875,0.2298693341996212,0.31329011837810533
1975-05-01,1.54039950108931,0.3442444623672489,0.36239200648968073
1975-06-01,1.4051214139131984,0.2417596779154616,0.3182614023001202
1975-07-01,1.429246002425822,0.3619528693098313,0.370227013222558
1975-08-01,1.2422426193442049,0.11040235584343884,0.2653276905861106
1975-09-01,1.3664161352753066,0.2888251600492733,0.3382550604777703
1975-10-01,1.2958257093283778,0.09127387650779606,0.2580090213595884
1975-11-01,1.2765636594092629,0.16864672459469343,0.2882424106445788
1975-12-01,1.1991074011189873,-0.04688592389509938,0.20841494509255903
1976-01-01,0.9674096710015524,-0.15647647186981284,0.17340843352541285
1976-02-01,1.0469007895261249,-0.05805142793525486,0.2046685178553529
1976-03-01,0.995522519169208,-0.10470546498597331,0.1894531963403957
1976-04-01,1.0375807310964726,-0.0472925807823974,0.20827779134445695
1976-05-01,1.0054848665207656,-0.10745795950637804,0.18857781561009931
1976-06-01,0.9980277055884572,-0.04138261662438813,0.2102762857737262
1976-07-01,0.9617176785764168,-0.08258828899493598,0.19657759039390027
1976-08-01,0.8894486403649352,-0.16376217960227002,0.17122196958979502
1976-09-01,0.8391818379073404,-0.1984990423261881,0.161041031422413
1976-10-01,0.9034786701147206,-0.13820870484540482,0.17896839247575608
1976-11-01,0.8291283900156179,-0.3712655583947923,0.11637322617227144
1976-12-01,1.0840167920685375,-0.04040437691229437,0.21060816701706345
1977-01-01,0.9670989016344396,-0.31385659059066906,0.1301215193072979
1977-02-01,0.9206514937709136,-0.1951877631875215,0.16199413506715357
1977-03-01,0.9071250487410132,-0.1647451201443143,0.17092834138282909
1977-04-01,0.8503124293583652,-0.2476978661356789,0.14731180648863257
1977-05-01,0.7991848859930059,-0.2547976642140898,0.14539733345689668
1977-06-01,0.8399434125378094,-0.2671153606385437,0.14211571087399097
1977-07-01,0.8732945856008134,-0.18116593023189376,0.1660707488756562
1977-08-01,0.9241339814992352,-0.18959113678066608,0.16361337860261718
1977-09-01,0.9433366491592144,-0.1402845303244441,0.17833100564943916
1977-10-01,0.9325222655950992,-0.15110008797817964,0.17503324872326206
1977-11-01,0.9350281806071988,-0.13415380115405906,0.18021758888838607
1977-12-01,0.7882763677006501,-0.3337963759089757,0.1252242816123391
1978-01-01,0.7595131267128739,-0.3367435747803096,0.12451150873727694
1978-02-01,0.7191687235261857,-0.3369634817836762,0.12445843871232336
1978-03-01,0.7255268727972172,-0.33434310398341516,0.12509184197423004
1978-04-01,0.7369143187339418,-0.28301258100646454,0.13795507749694333
1978-05-01,0.7784348604544219,-0.2418273160392822,0.14890751530148308
1978-06-01,0.6299066215423959,-0.4457576311192253,0.10011510529857866
1978-07-01,0.625992028822881,-0.361110726261647,0.11872696159910574
1978-08-01,0.605474549089636,-0.3872181881083192,0.11274283240707768
1978-09-01,0.6436323087965212,-0.31528452251661054,0.12976647235975677
1978-10-01,0.5629925004200963,-0.5002420150775896,0.0893199631357483
1978-11-01,0.6671743787992496,-0.2494944213119328,0.1468257729855655
1978-12-01,0.6444213873107446,-0.3867448734470479,0.11284936870745604
1979-01-01,0.6952421904911651,-0.25991443031901273,0.14402801082034491
1979-02-01,0.6638576645251245,-0.31574074544587694,0.12965317673222992
1979-03-01,0.6506520205270435,-0.18333125156699911,0.1654369267647742
1979-04-01,0.6444352858071002,-0.2315473380229366,0.151729500303048
1979-05-01,0.7059792549205227,-0.25874890940479245,0.14433915405654937
1979-06-01,0.7385814429449202,-0.17937805924350314,0.16659526654246234
1979-07-01,0.6516171960944988,-0.2548630666700281,0.14537977572101166
1979-08-01,0.5807234943071707,-0.33645012276498387,0.1245823519755983
