<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZA;30;231102;150000;1038.5000000;1038.5000000;1038.0000000;1038.0000000;50
GAZA;30;231102;153000;1042.0000000;1044.5000000;1042.0000000;1044.5000000;230
GAZA;30;231102;160000;1044.5000000;1044.5000000;1044.5000000;1044.5000000;80
GAZA;30;231102;163000;1039.0000000;1039.0000000;1039.0000000;1039.0000000;20
GAZA;30;231102;173000;1039.0000000;1039.0000000;1030.0000000;1030.0000000;400
GAZA;30;231102;180000;1033.5000000;1033.5000000;1021.5000000;1025.5000000;400
GAZA;30;231102;183000;1025.0000000;1025.0000000;1025.0000000;1025.0000000;100
GAZA;30;231103;100000;1034.0000000;1043.5000000;1034.0000000;1041.5000000;200
GAZA;30;231103;103000;1031.5000000;1031.5000000;1030.0000000;1030.0000000;90
GAZA;30;231103;110000;1029.0000000;1032.5000000;1021.0000000;1032.5000000;260
GAZA;30;231103;113000;1030.0000000;1030.0000000;1030.0000000;1030.0000000;10
GAZA;30;231103;120000;1034.5000000;1034.5000000;1034.5000000;1034.5000000;60
GAZA;30;231103;123000;1030.0000000;1030.0000000;1028.0000000;1028.0000000;170
GAZA;30;231103;130000;1028.5000000;1028.5000000;1028.0000000;1028.0000000;60
GAZA;30;231103;133000;1033.5000000;1033.5000000;1033.5000000;1033.5000000;20
GAZA;30;231103;143000;1028.5000000;1028.5000000;1013.0000000;1019.5000000;280
GAZA;30;231103;150000;1024.0000000;1024.0000000;1024.0000000;1024.0000000;20
GAZA;30;231103;160000;1023.0000000;1024.0000000;1023.0000000;1024.0000000;30
GAZA;30;231103;170000;1022.5000000;1023.5000000;1022.5000000;1023.5000000;30
GAZA;30;231103;180000;1023.5000000;1023.5000000;1023.5000000;1023.5000000;10
GAZA;30;231106;100000;1020.5000000;1028.0000000;985.0000000;1015.0000000;920
GAZA;30;231106;103000;1011.5000000;1011.5000000;1008.5000000;1008.5000000;40
GAZA;30;231106;110000;1008.0000000;1015.0000000;970.0000000;982.5000000;3000
GAZA;30;231106;113000;989.0000000;1060.0000000;988.0000000;1026.0000000;2670
GAZA;30;231106;120000;1027.0000000;1027.0000000;1021.5000000;1021.5000000;150
GAZA;30;231106;123000;1025.5000000;1026.0000000;1025.5000000;1026.0000000;20
GAZA;30;231106;130000;1029.5000000;1030.0000000;1026.5000000;1026.5000000;30
GAZA;30;231106;133000;1026.0000000;1026.0000000;1025.0000000;1025.0000000;30
GAZA;30;231106;140000;1025.0000000;1026.0000000;1025.0000000;1025.0000000;50
GAZA;30;231106;143000;1025.5000000;1025.5000000;1025.0000000;1025.0000000;90
GAZA;30;231106;150000;1025.0000000;1025.0000000;1025.0000000;1025.0000000;10
GAZA;30;231106;170000;1028.5000000;1028.5000000;1025.5000000;1025.5000000;20
