,country,code,year,hdi,epi,gni_per_capita,gdp_per_capita,co2_emission_per_capita,forest_area,ghg_emission
0,Afghanistan,AFG,2000,0.12,..,,,0.0388886404336861,12084.4,13890.0003433228
1,Afghanistan,AFG,2005,0.16,..,,6226199249.32211,0.063495466170261,12084.4,16229.9995422363
2,Afghanistan,AFG,2007,0.16,..,,9715761649.79443,0.0683310586911881,12084.4,17139.9993896484
3,Afghanistan,AFG,2010,0.18,..,520.0,15633856787.0425,0.252220037661822,12084.4,27120.0008392334
4,Afghanistan,AFG,2015,0.25,,610.0,19998156214.3988,0.176278015184889,12084.4,27090.0001525879
5,Albania,ALB,2000,0.42,"59,0",1100.0,3480355258.04122,1.026213108529,7693.0,8140.00034332275
6,Albania,ALB,2005,0.46,"65,2",2620.0,8052073539.38058,1.33820939947885,7756.85,8949.99980926514
7,Albania,ALB,2007,0.51,"66,9",3460.0,10677324144.4289,1.3939313702533,7782.39,8859.99965667725
8,Albania,ALB,2010,0.53,"65,9",4360.0,11926922828.9911,1.52762366260495,7820.7,8899.99961853027
9,Albania,ALB,2015,0.59,,4390.0,11386850129.8411,1.60377514987108,7891.875,9220.00026702881
10,Algeria,DZA,2000,0.35,"46,8",1610.0,54790392746.1939,2.60116932065548,15790.0,162619.995117188
11,Algeria,DZA,2005,0.39,"49,0",2730.0,103198223709.439,2.85799339804472,17485.0,188020.004272461
12,Algeria,DZA,2007,0.4,"50,3",3620.0,134977082623.78,3.02349702992544,18163.0,198830.001831055
13,Algeria,DZA,2010,0.41,"48,6",4490.0,161207270185.25,3.18437374165018,19180.0,209869.995117188
14,Algeria,DZA,2015,0.45,,4880.0,165979279263.174,3.9518851802378,19560.0,263140.014648438
15,Angola,AGO,2000,0.17,"42,8",360.0,9129594818.60749,0.988162665238182,777086.1,57639.9993896484
16,Angola,AGO,2005,0.22,"47,3",1370.0,36970918699.2523,0.812813415503919,749333.05,66959.9990844727
17,Angola,AGO,2007,0.24,"48,1",2460.0,65266452081.386,0.811585642009439,738231.83,70199.9969482422
18,Angola,AGO,2010,0.24,"47,6",3220.0,81699526880.8079,0.975852538278588,721580.0,77730.0033569336
19,Angola,AGO,2015,0.27,,3880.0,87219300384.5072,1.1252244580544,693826.9,87360.0006103516
20,Argentina,ARG,2000,0.56,"51,7",7430.0,284203750000.0,3.56803987960974,333780.0,290820.007324219
21,Argentina,ARG,2005,0.61,"53,8",4240.0,198737095012.282,3.73657879363165,317960.0,322739.990234375
22,Argentina,ARG,2007,0.63,"56,0",6480.0,287530508430.568,4.08289558524386,311632.0,349820.007324219
23,Argentina,ARG,2010,0.65,"56,5",9270.0,423627422092.49,4.09968971416256,302140.0,339609.985351563
24,Argentina,ARG,2015,0.7,,12600.0,594749285413.212,4.30191387639872,290970.0,370000.0
25,Armenia,ARM,2000,0.51,"44,6",640.0,1911563668.85006,1.12355188837196,3326.4,5989.99977111816
26,Armenia,ARM,2005,0.54,"46,0",1500.0,4900469950.09033,1.46361666834478,3316.0,7320.00017166138
27,Armenia,ARM,2007,0.56,"46,5",2690.0,9206301700.39619,1.73079880337397,3311.84,8369.99988555908
28,Armenia,ARM,2010,0.57,"47,5",3390.0,9260284937.79781,1.47303752633831,3305.6,7559.99994277954
29,Armenia,ARM,2015,0.58,,4080.0,10553337672.9872,1.85507171122992,3295.2,9159.99984741211
30,Australia,AUS,2000,0.81,"56,3",21280.0,415851284305.721,17.8387478097675,1318141.0,596960.021972656
31,Australia,AUS,2005,0.84,"56,4",30730.0,695328522026.763,18.3423134132321,1306801.0,560380.004882813
32,Australia,AUS,2007,0.85,"56,9",37370.0,854427259166.209,18.5210774422543,1302265.0,606469.970703125
33,Australia,AUS,2010,0.87,"56,6",46740.0,1148610059015.24,17.5900692657153,1295461.0,566440.002441406
34,Australia,AUS,2015,0.89,,60490.0,1350615691821.28,15.863288004258,1330945.0,596979.98046875
35,Austria,AUT,2000,0.69,"67,9",26810.0,197289625479.906,7.92978551259517,38381.4,78650.0015258789
36,Austria,AUT,2005,0.71,"68,0",38770.0,316092273276.015,9.26611355969716,38506.7,90349.9984741211
37,Austria,AUT,2007,0.72,"69,0",44540.0,389185571506.052,8.58780176061628,38556.82,85059.9975585938
38,Austria,AUT,2010,0.74,"68,9",49750.0,392275107258.667,8.36501490116616,38632.0,83510.0021362305
39,Austria,AUT,2015,0.79,,47480.0,381971148530.543,7.31715887345687,38811.9,76339.9963378906
40,Azerbaijan,AZE,2000,0.42,"33,7",630.0,5272798390.70183,3.44034987451234,9872.2,37740.0016784668
41,Azerbaijan,AZE,2005,0.47,"40,0",1290.0,13245716099.0057,3.57966371128265,10098.573,42869.9989318848
42,Azerbaijan,AZE,2007,0.5,"42,0",2730.0,33050343782.7759,3.2197917752283,10189.122,43290.0009155273
43,Azerbaijan,AZE,2010,0.52,"43,1",5410.0,52909294791.9262,2.68490259313911,10324.946,42020.0004577637
44,Azerbaijan,AZE,2015,0.52,,6610.0,53074370486.0433,3.29245286882946,10778.87,50520.0004577637
45,Bahamas,BHS,2000,0.49,..,24170.0,8076470000.0,6.86124290030583,5098.6,2430.0000667572
46,Bahamas,BHS,2005,0.52,..,28560.0,9836200000.0,6.06663492971855,5098.6,2349.99990463257
47,Bahamas,BHS,2007,0.53,..,29330.0,10618340000.0,5.9273173451183,5098.6,2369.99988555908
48,Bahamas,BHS,2010,0.57,..,26900.0,10095760000.0,5.57234382355507,5098.6,2359.99989509583
49,Bahamas,BHS,2015,0.58,,27450.0,11861900000.0,5.62774871757862,5098.6,2519.99998092651
50,Bahrain,BHR,2000,0.48,..,10220.0,9062898936.17021,22.3208638230523,3.7,25440.0005340576
51,Bahrain,BHR,2005,0.51,..,16310.0,15968723404.2553,22.9399254857771,4.45,32090.0001525879
52,Bahrain,BHR,2007,0.53,..,19570.0,21730000000.0,22.1040775295714,4.75,35790.0009155273
53,Bahrain,BHR,2010,0.55,..,19390.0,25713271276.5957,21.3983490339881,5.2,40810.001373291
54,Bahrain,BHR,2015,0.57,,22740.0,31050638297.8723,22.4499354132727,6.0,48869.9989318848
55,Bangladesh,BGD,2000,0.23,"38,2",430.0,53369787318.6245,0.167578314629207,19203.281,115459.999084473
56,Bangladesh,BGD,2005,0.24,"40,5",540.0,69442943089.4309,0.232129713068738,19043.351,133110.000610352
57,Bangladesh,BGD,2007,0.27,"42,0",600.0,79611888213.148,0.263570649068447,18979.379,142169.998168945
58,Bangladesh,BGD,2010,0.29,"42,6",800.0,115279077465.226,0.340855944444599,18883.42,163179.992675781
59,Bangladesh,BGD,2015,0.33,,1210.0,195078678697.23,0.457390879055986,18834.0,192179.992675781
60,Barbados,BRB,2000,0.61,..,11060.0,3059500000.0,4.68530966496257,63.0,3589.99991416931
61,Barbados,BRB,2005,0.62,..,13580.0,3819500000.0,5.26946625160834,63.0,3759.99999046326
62,Barbados,BRB,2007,0.67,..,15940.0,4674007450.0,5.45232172777254,63.0,3839.99991416931
63,Barbados,BRB,2010,0.7,..,15960.0,4529928300.0,5.64229299997554,63.0,3950.00004768372
64,Barbados,BRB,2015,0.66,,16170.0,4724691200.0,4.56698173180853,63.0,3740.00000953674
65,Belarus,BLR,2000,0.6,"49,4",1380.0,12736856827.9847,5.30481652088609,82730.0,78900.0015258789
66,Belarus,BLR,2005,0.63,"51,0",2820.0,30207567316.6202,5.87546545880183,84515.0,83069.9996948242
67,Belarus,BLR,2007,0.58,"53,3",4310.0,45277399813.6067,6.02973380643947,85229.0,85089.9963378906
68,Belarus,BLR,2010,0.6,"53,9",6150.0,57222490768.7143,6.50264283027936,86300.0,91029.9987792969
69,Belarus,BLR,2015,0.67,,6750.0,56454734396.5842,5.79426692004421,86335.0,84739.9978637695
70,Belgium,BEL,2000,0.65,"53,3",25890.0,236792460312.471,11.4395805389587,6673.0,138250.0
71,Belgium,BEL,2005,0.79,"62,4",37780.0,385714762230.039,10.5557823718867,6785.85,129550.003051758
72,Belgium,BEL,2007,0.74,"63,3",42740.0,470922156309.453,9.84311587357925,6830.99,121889.999389648
73,Belgium,BEL,2010,0.79,"63,0",47080.0,481420882905.001,9.79479224161996,6898.7,124739.99786377
74,Belgium,BEL,2015,0.84,,45570.0,462335574841.484,8.43785199879601,6893.0,111430.000305176
75,Belize,BLZ,2000,0.48,..,4400.0,1116000000.0,1.87183348169347,14593.0,750.0
76,Belize,BLZ,2005,0.51,..,4990.0,1461500000.0,1.67632634438843,14253.45,879.999995231628
77,Belize,BLZ,2007,0.46,..,5150.0,1696000000.0,1.78347283026981,14117.63,1070.00005245209
78,Belize,BLZ,2010,0.49,..,5000.0,1738500000.0,1.73855812181141,13913.9,1269.99998092651
79,Belize,BLZ,2015,0.43,,5770.0,2210500000.0,1.8895660032416,13328.3,1480.00001907349
80,Benin,BEN,2000,0.21,"49,6",470.0,3519991326.48464,0.202914451695858,41351.5,7030.00020980835
81,Benin,BEN,2005,0.24,"50,5",810.0,6567654493.50831,0.355853600774169,38851.5,8619.99988555908
82,Benin,BEN,2007,0.22,"50,4",900.0,8169048690.05254,0.462547473270827,37851.5,9649.99961853027
83,Benin,BEN,2010,0.25,"50,4",1050.0,9535345011.48797,0.51134323663399,36351.5,10479.9995422363
84,Benin,BEN,2015,0.26,,1140.0,11388160997.1089,0.503988804029298,33851.5,12119.9998855591
85,Bolivia,BOL,2000,0.37,"54,3",960.0,8397912525.26886,0.955467087242873,551013.9,31739.9997711182
86,Bolivia,BOL,2005,0.41,"54,8",1000.0,9549077918.69677,1.07172703003597,540937.0,40500.0
87,Bolivia,BOL,2007,0.41,"54,4",1210.0,13120183207.6625,1.24393068131424,536906.24,42889.9993896484
88,Bolivia,BOL,2010,0.43,"54,6",1750.0,19649631308.1648,1.48386964995485,530860.1,50520.0004577637
89,Bolivia,BOL,2015,0.47,,2900.0,33000198248.3362,1.87194239078256,520272.2,57540.0009155273
90,Botswana,BWA,2000,0.3,"48,5",3020.0,5788329609.15755,2.33354661447552,176207.0,13699.9998092651
91,Botswana,BWA,2005,0.31,"50,3",4690.0,9918907108.09702,2.26119208657214,170292.0,10789.999961853
92,Botswana,BWA,2007,0.33,"52,3",5460.0,10567270655.5027,2.19626369381105,167926.0,10859.9996566772
93,Botswana,BWA,2010,0.35,"53,7",5220.0,12637319933.4668,1.61115737783845,164377.0,20950.0007629395
94,Botswana,BWA,2015,0.4,,5890.0,13530738157.7648,3.0149606295,158462.0,12189.9995803833
95,Brazil,BRA,2000,0.48,"54,5",3910.0,655448188237.371,1.78349556716035,5510886.0,767750.0
96,Brazil,BRA,2005,0.49,"58,4",3980.0,891630177209.99,1.77566775359549,5313346.5,891000.0
97,Brazil,BRA,2007,0.49,"60,0",6170.0,1397084349956.35,1.84799773777837,5234330.7,914650.024414063
98,Brazil,BRA,2010,0.51,"60,9",9610.0,2208871646202.82,2.02660002948041,5115807.0,991489.990234375
99,Brazil,BRA,2015,0.54,,10160.0,1802214373741.32,2.36534062149377,5038848.0,1095300.04882813
100,Brunei,BRN,2000,0.5,,14650.0,6001153306.2645,14.1348682043327,3970.0,6610.0001335144
101,Brunei Darussalam,BRN,2000,,"62,2",14650.0,6001153306.2645,14.1348682043327,3970.0,6610.0001335144
102,Brunei,BRN,2005,0.52,,22990.0,9531402847.87311,13.6072223843404,3885.0,7019.99998092651
103,Brunei Darussalam,BRN,2005,,"62,8",22990.0,9531402847.87311,13.6072223843404,3885.0,7019.99998092651
104,Brunei,BRN,2007,0.54,,30620.0,12247694247.2298,18.8515843423215,3851.0,9289.99996185303
105,Brunei Darussalam,BRN,2007,,"62,9",30620.0,12247694247.2298,18.8515843423215,3851.0,9289.99996185303
106,Brunei,BRN,2010,0.55,,32680.0,13707370737.0737,18.1036378370924,3800.0,9239.99977111816
107,Brunei Darussalam,BRN,2010,,"62,5",32680.0,13707370737.0737,18.1036378370924,3800.0,9239.99977111816
108,Brunei,BRN,2015,0.58,,38250.0,12930394937.8137,15.1861371815181,3800.0,8390.00034332275
109,Bulgaria,BGR,2000,0.51,"48,7",1660.0,13245834314.5104,5.31445360024244,33750.0,57759.9983215332
110,Bulgaria,BGR,2005,0.53,"54,3",3800.0,29869284035.3218,6.2658541744854,35560.0,61060.001373291
111,Bulgaria,BGR,2007,0.54,"55,0",4820.0,44432811756.4731,6.97119181064137,36284.0,65180.0003051758
112,Bulgaria,BGR,2010,0.55,"56,3",7010.0,50682061053.2016,6.04954401644367,37370.0,56959.9990844727
113,Bulgaria,BGR,2015,0.59,,7430.0,50781996712.7635,6.20786531681232,38330.0,57259.9983215332
114,Burkina Faso,BFA,2000,0.15,..,260.0,2968369991.46729,0.0791053488007293,72165.0,16129.9991607666
115,Burkina Faso,BFA,2005,0.16,..,440.0,6146352742.03313,0.0763901874622177,69665.0,20709.9990844727
116,Burkina Faso,BFA,2007,0.17,..,490.0,7625723123.54939,0.0955473941935508,68665.0,21309.9994659424
117,Burkina Faso,BFA,2010,0.19,..,630.0,10109618964.2848,0.142087360265178,67165.0,24489.9997711182
118,Burkina Faso,BFA,2015,0.22,,680.0,11832159275.603,0.197670493212114,64664.0,28040.0009155273
119,Burundi,BDI,2000,0.16,..,140.0,870486065.883137,0.0412197298554028,1939.4,1990.00000953674
120,Burundi,BDI,2005,0.16,..,130.0,1117113045.65222,0.0203007935932409,1939.4,2059.99994277954
121,Burundi,BDI,2007,0.21,..,170.0,1356199364.85882,0.022656874259332,1939.4,2279.99997138977
122,Burundi,BDI,2010,0.22,..,210.0,2032135246.50004,0.0328709319534404,1939.4,2880.00011444092
123,Burundi,BDI,2015,0.25,,250.0,3104003611.42957,0.0372885697074809,2796.4,3619.99988555908
124,Cambodia,KHM,2000,0.26,"52,6",300.0,3654031716.26881,0.161731637538606,107810.0,19379.9991607666
125,Cambodia,KHM,2005,0.29,"53,1",470.0,6293046161.83262,0.200806508805379,106851.15,22590.0001525879
126,Cambodia,KHM,2007,0.31,"54,0",590.0,8639235842.18075,0.266865173944735,106467.61,25319.9996948242
127,Cambodia,KHM,2010,0.32,"55,3",750.0,11242275198.9783,0.357850692050228,105892.3,27850.0003814697
128,Cambodia,KHM,2015,0.37,,1070.0,18049954289.4229,0.546780459168167,88468.2,31139.9993896484
129,Cameroon,CMR,2000,0.22,"41,9",720.0,10566578952.7857,0.34522529561821,215974.9,83519.9966430664
130,Cameroon,CMR,2005,0.24,"42,7",1130.0,19509850837.2745,0.290590465409952,212489.85,83540.0009155273
131,Cameroon,CMR,2007,0.23,"42,8",1230.0,23928251333.7444,0.335856077095948,211095.83,83129.997253418
132,Cameroon,CMR,2010,0.24,"43,0",1440.0,27507499709.071,0.352650544997596,209004.8,83650.0015258789
133,Cameroon,CMR,2015,0.28,,1520.0,32210232911.6626,0.367623959372033,206204.8,87949.9969482422
134,Canada,CAN,2000,0.75,"55,6",22750.0,744773415931.587,16.7576264276587,3478019.7,644890.014648438
135,Canada,CAN,2005,0.82,"56,9",34310.0,1173108598778.68,17.0274852712361,3475620.9,690539.978027344
136,Canada,CAN,2007,0.83,"57,2",41550.0,1468820407783.26,17.3805701106315,3474661.38,712789.978027344
137,Canada,CAN,2010,0.85,"58,4",44490.0,1617343367486.26,15.7921412349155,3473222.1,669979.98046875
138,Canada,CAN,2015,0.88,,47590.0,1556508816217.14,15.6485856056048,3471157.1,704479.98046875
139,Cape Verde,CPV,2000,0.38,..,1310.0,539227277.626411,0.480086240946555,397.2,370.000004768372
140,Cape Verde,CPV,2005,0.39,..,2030.0,972241336.910099,0.892808221984214,412.2,610.000014305115
141,Cape Verde,CPV,2007,0.42,..,2650.0,1513040064.50412,0.911372960247596,418.2,629.999995231628
142,Cape Verde,CPV,2010,0.43,..,3200.0,1663913071.40962,1.03604679373781,427.2,740.000009536743
143,Cape Verde,CPV,2015,0.46,,3050.0,1596800287.16405,0.905524787835542,442.2,680.000007152557
144,Central African Republic,CAF,2000,0.16,..,250.0,916777282.651168,0.0638438804310526,229030.0,24760.0002288818
145,Central African Republic,CAF,2005,0.16,..,320.0,1337894284.8516,0.0522710087420666,227530.0,22229.9995422363
146,Central African Republic,CAF,2007,0.16,..,370.0,1699811358.87423,0.0548500079956646,226930.0,22739.9997711182
147,Central African Republic,CAF,2010,0.16,..,480.0,2142591375.85053,0.0364801625788082,226030.0,21500.0
148,Central African Republic,CAF,2015,0.16,,370.0,1695825708.45604,0.0394245422791523,224530.0,21010.0002288818
149,Chad,TCD,2000,0.13,..,180.0,1388506726.62093,0.0351126273846771,63530.0,34770.0004577637
150,Chad,TCD,2005,0.15,..,470.0,6649307057.03314,0.0479759533792827,59415.0,42290.0009155273
151,Chad,TCD,2007,0.16,..,640.0,8650138068.63161,0.0466299117267793,57769.0,45520.0004577637
152,Chad,TCD,2010,0.18,..,910.0,10668102734.8132,0.104247874670578,55300.0,51479.9995422363
153,Chad,TCD,2015,0.19,,880.0,10950392219.9104,0.169020777454819,48900.0,68120.002746582
154,Chile,CHL,2000,0.57,"53,2",5080.0,78249883995.6255,3.28430563740445,158170.6,69919.9981689453
155,Chile,CHL,2005,0.61,"55,2",6270.0,122314960843.922,3.46021175238628,162711.6,75129.997253418
156,Chile,CHL,2007,0.66,"54,1",8790.0,172565850839.158,3.91439186129147,164528.0,84150.0015258789
157,Chile,CHL,2010,0.65,"55,3",10820.0,217105420016.533,4.10193692579499,167252.6,91660.0036621094
158,Chile,CHL,2015,0.74,,14210.0,242496649874.236,4.601535129635,175960.8,102129.997253418
159,China,CHN,2000,0.39,"41,2",940.0,1211346869605.24,2.65041242787957,1770005.5,4568810.05859375
160,China,CHN,2005,0.42,"41,9",1760.0,2285965892360.54,4.46770002977058,1888054.65,7266529.78515625
161,China,CHN,2007,0.46,"41,9",2510.0,3550342737010.84,5.30636601507814,1935274.31,8555799.8046875
162,China,CHN,2010,0.48,"42,2",4340.0,6087163874512.21,6.33541769065302,2006103.8,10218509.765625
163,China,CHN,2015,0.54,,7890.0,11061553079876.4,7.14644935672822,2102942.5,11818469.7265625
164,Colombia,COL,2000,0.45,"58,3",2360.0,99886577330.7271,1.48769091321501,627355.0,139619.995117188
165,Colombia,COL,2005,0.48,"61,9",3030.0,145619193046.094,1.3651993392295,617716.45,145270.004272461
166,Colombia,COL,2007,0.5,"62,4",4170.0,206181823187.675,1.36653592992344,613861.03,151339.996337891
167,Colombia,COL,2010,0.53,"62,3",5680.0,286563099757.482,1.41824009736167,608077.9,161139.999389648
168,Colombia,COL,2015,0.55,,7400.0,293481753078.868,1.70268392374705,601346.6,175229.995727539
169,Comoros,COM,2000,0.24,..,730.0,351136568.441921,0.186303697383178,416.8,300.000011920929
170,Comoros,COM,2005,0.25,..,1120.0,653845122.872074,0.253086398564602,394.9,360.000014305115
171,Comoros,COM,2007,0.26,..,1210.0,795673128.485442,0.178311197463368,386.14,319.999992847443
172,Comoros,COM,2010,0.28,..,1450.0,907978723.547592,0.259136863572276,373.0,419.999986886978
173,Comoros,COM,2015,0.28,,1470.0,966029542.038859,0.260196979545524,351.1,479.999989271164
174,Congo,COG,2000,0.27,"46,8",560.0,3227927697.43665,1.38798926621634,221950.0,12050.0001907349
175,Congo,COG,2005,0.29,"48,1",1100.0,6650001213.82609,1.17347913774046,221350.0,13760.0002288818
176,Congo,COG,2007,0.28,"48,0",1670.0,8782703766.99342,1.0489522219632,221110.0,13090.0001525879
177,Congo,COG,2010,0.29,"47,2",2650.0,13148395201.8041,1.22130278220295,220750.0,16239.9997711182
178,Congo,COG,2015,0.34,,2970.0,11890259136.1098,1.11760830383231,220150.0,15250.0
179,Costa Rica,CRI,2000,0.52,"66,0",3560.0,15013629658.6521,1.24397082524019,28572.2,10439.9995803833
180,Costa Rica,CRI,2005,0.57,"69,0",4610.0,20040642476.9817,1.45277204452445,28642.1,11699.9998092651
181,Costa Rica,CRI,2007,0.58,"68,4",5630.0,26884700345.0342,1.71170436537154,28670.06,13399.9996185303
182,Costa Rica,CRI,2010,0.62,"69,0",7190.0,37658614803.2775,1.53821127310116,28712.0,13250.0
183,Costa Rica,CRI,2015,0.67,,10610.0,56441917652.9812,1.54027113712724,29530.3,14319.9996948242
184,Cote d'Ivoire,CIV,2000,0.22,"51,4",640.0,16577533355.4395,0.38631711218137,50944.5,25870.0008392334
185,Cote d'Ivoire,CIV,2005,0.22,"52,7",900.0,24036917016.59,0.309959592679415,45300.15,22979.9995422363
186,Cote d'Ivoire,CIV,2007,0.21,"53,5",930.0,28760092034.4723,0.285603266141485,43042.41,21280.0006866455
